Product/Service,Description,Depends on ,ROADMAP,Owner (Continuity Planning) Stanford Department,"RTO
Vendor Return to Operation",Time to Recover - GSB DS,Category,Platform,Principal Technology,"Principal
Support",Remedy Group,Relationship Manager,Product Owner 1,Product Owner 2,GSB Tech Lead,Ciber Team,Org Owner,Documentation,URL,Alias,Admit,Student,Faculty,Staff/ Admin,Alumni,Infra/ IT,Public,rm,Frequency,"L1
Persona",L2 Persona(e),L1 Process(es),L2 Process(es),AC - Owner,Acctbl Director,DS Mgr,DS SME,Expert Partner (Group),Expert Partner (Person),Related Persona(e)
Course Planning System (CPS),"Faculty teaching preferences, administrative assignment of teaching duties; feeds into PeopleSoft and other GSB apps",,,DS/DES,,,Curriculum Planning,,Java,Ciber,Application Services,"Rachel, Ursula",Inna,Naveen,,"Chenji, Gurmeet, Manju, Raji, Sandeep",GSB,,https://gsbapps.stanford.edu/cps,CPS,,,X,X,,,,Admin,3,Faculty,Teaching,Course Preparation,,Parthi,RK,UK,Inna Blyumina,Academic Administration; Academic Operations,Sarah Stone; Lily Kimbel,Staff|Academic Administration; Staff|Student Programs|Academic Operations
Course_Reader,WebAuth/forwarding app to UCP for course materials sales,,,DS,,,AuthN integration,,Java,ATS,DevOps Infrastructure,Ranga,Phong,,,,GSB,,,,X,X,,,,,,Admin,5,Student,Academic,Coursework,Learn (Take Courses),John,RJ,JY,Phong Ngyuen?,?,Elizabeth Bauer,?
Courses.gsb,GSB's LMS on Canvas (same system as line 16),,,DS,,,LMS,,Product,DLS,Digital Learning Solutions,Ranga,John T.,John T.,Chris?,,SaaS,,https://courses.gsb.stanford.edu/,,,X,,,,,,,,Student,Academic,Coursework,Learn (Take Courses),John,RJ,JY,John T,TRG;MBA Program,Diane Lee; Ashlee Yang,"Staff|Faculty Support|TRG;
Staff|Student Programs|Academic Operations"
CVent,Event Management Tool; SF addon,,,DS/DES,,,CRM,,Product/Salesforce,SE,Application Services,Julia,Parthipan,Vivek,,Sandeep,,,,,X,X,,X,,,X,,,,,,,Parthi,RK,UK,KC,Admissions,Debbie Bishko,
CyberSource,"Payment System used by Admissions, GIP, ",,,University System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Connection Manager,Utility to provide encrypted DB passwords for (ASP) applications,,,DS/DES,,,Middleware,,.NET,SE,Application Services,Raj,KC,Phong/Ben,,"Mahesh, Roopesh",GSB,,,,,,,,,X,,Utility,10,System,Infrastructure,Application Module,,Parthi,RK,UK,KC,n/a,n/a,n/a
Degree Progress Report,Student interface to see the progress toward their degree completion and outstanding requirements needed,,,UIT,,,Reporting,,PeopleSoft,AS,Application Services,Rachel,Asha,Rachel,,,University,,,,,X,,X,,,,Admin,5,Student,Administrative,Degree Planning,,Vivek,RK,VS,Rachel Krueger,Academic Operations,Lily Kimbel,Staff|Student Programs|Academic Operations
Enterprise Content Management ECM (Alfresco),"Enterprise Content are the digital files that are representative of the GSB that need to be made accessible for sharing; the files can be organized, described, and published out. ",,Dubious :),DS,,,digital assets,,SaaS,GSB,Application Services,Rachel,Alpana,Kim,,"Gurmeet, Nirmala, Bala",GSB,,,,,X,X,X,,X,,,,System,ECM,Multiple,,Raj,RK,RK,Kim Serra,n/a,n/a,n/a
Equitrac,Secure print management solution,,Active,DevOps,,,Utility,,Product,"CRC
TCG",DevOps Infrastructure,Dave,Paul,,,,GSB,,,,,X,X,X,,X,,Admin,3,Student,Administrative,Common Processes,Printing,Dave Love,TH,DL,Phong Nguyen,n/a,n/a,n/a
Error_messages,web server utility pages; two of them are ASP pages that email error results so that we can take action if needed,,,,,,Utility,,ASP,SE,,Dave,,,,,GSB,,,,,,,,,X,X,Utility,10,System,Infrastructure,Application Module,,n/a,,,Dave Love,n/a,n/a,n/a
ESP Host and Student Forms,"Collection of Entrepreneurial Summer Program forms (ESP funding application, stipend agreeement)",,,DS/DES,,,Form,,Force.com,SE,Application Services,Lisa,Julia,,,"Ranjith, Rekha, Manju, Nirmala",GSB,,,ESP,,X,,,,,,,6,Student,Academic,Supplemental Opportunities,ESP,Parthi,RK,UK,Julia Zivkovic,CES,?,Staff|CES Team
Event Monitor (Cisco Digital Monitor),"3 exterior monitors (Cemex, Arbuckle, Coupa)",,,DS,,,Calendar,,ASP,SE,Media Services,Tony,Bryan?,Kim,,,GSB,,,,X,X,X,X,X,,X,Admin,7,Public,,,,Raj,TH,TC,Bryan McCann?,,,
ExactTarget,Prospect Tool for Admissions; Email tool for Salesforce to increase 24-hour email maximum,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,,Product/Salesforce,GSB,Application Services,Julia,Marlen,KC,,,,,,,,,,X,,,,,,,,,,Parthi,RK,UK,Marlen Wells,Admissions,Debbie Bishko,
Executive Challenge,Learning Experience where MBA1s participate in experiential leadership challenges that are judged by alumni,,,DS/DES,,,,,,SE,Application Services,Jing,Misha,Raj,,,GSB,,,,,X,,X,,,,Academic,10,Student,Academic,Coursework,Learn (Take Courses),Parthi,RK,UK,Rajeshwar,Mindy Hollar,Mindy Hollar,?
ExEdOnline (COM/APower),3rd party CRM solution for Exec Ed (applicant site),,,ExecEd,,,CRM,,Product,SE,Application Services,Jing,Ursula,KC?,,,GSB,,,Apower,,,,X,,,X,Admin,5,Exec Ed Student,,,,Parthi,RK,UK,Ursula,ExecEd,Vatsala,
ExEdPM (COM/APower),3rd party CRM solution for Exec Ed (Admin site),,,ExecEd,,,CRM,,Product,SE,Application Services,Jing,Ursula,Vatsala,,,GSB,,,Apower,,,,X,,,,Admin,5,Exec Ed Student,,,,Parthi,RK,UK,Ursula/Katya,ExecEd,Vatsala,
Extensive form games,"Game theory simulation for Yossi Feinberg, Paul Oyer",,,DS,,,Learning simulation,,Forio,,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Joy,n/a,n/a,MBA|MSx|Ignite
Facilities Requests,https://mygsb.stanford.edu/facstaff/facilities/assistance,Salesforce platform,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,,Salesforce,SE?,Application Services,Tony,Kim,Marlen?,,Nirmala,GSB,,,,,X,X,X,,,,,,Student,Administrative,Common Processes,Facilities Requests,Parthi,RK,UK,Kim Serra,Facilities,Lee Redmon,Staff|Facilities & Hospitality|Facilities Services
Faculty Recruiting,"Faculty Recruiting application; positions are posted, applicants apply and provide supporting documentation, GSB faculty assess",,,DS/DES,,,Application / Review,,Google Docs & Apps Script ,SE,Application Services,Ursula,Ursula,Katya,,,GSB,,,FRD,,,X,X,,,X,Admin,5,Faculty; Prospective Faculty,Administrative; Career,Human Resources; Submit Application,Hiring; - ,Parthi,RK,UK,Sandeep Kadoor,Academic Administration,Claudia Morgan,Staff|Academic Administration
FacultyInfo on Force,Commit (annual faculty/dean agreement) + FIS (faculty information systems),,,DS/DES,,,CRM,,Force.com,SE,Application Services,Ursula,Ursula,Julia,,"Chenji, Raji, Vyshali",GSB,,,FIS,,,X,X,,,X,Admin,8,Faculty,Administrative,Human Resources,Commitments,Parthi,RK,UK,Julia Zivkovic,Academic Administration,Claudia Morgan,Staff|Academic Administration
FacultyProfiles (Drupal),Directory and public face for faculty; also contains administrative mapping of faculty to FA relationships,,,DS,,L,Directory,,PHP,Web,Application Services,Ranga,Adam,Naveen,,Roopesh,GSB,,https://gsbapps.stanford.edu/facultyprofiles/,,,,X,X,,,X,Admin,1,Faculty,Career,Manage Image,Maintain Directory Information,Adam,MS,MS,Naveen Kanakatte?,Academic Administration,Claudia Morgan?,Staff|Academic Administration
FacultyReports,Administrative system to track various interests/profile information for GSB faculty.  Somewhat redundant with other systems,,,DS/DES,,,Faculty ERP,Windows,ASP,SE,Application Services,Ursula,Ursula,Katya,,,GSB,,,,,,X,X,,,,Admin,5,Faculty,Administrative,Human Resources,?,Parthi,RK,UK,Ursula,Academic Administration,Claudia Morgan,Staff|Academic Administration
FARES (Force.com),"Faculty Recruiting application; positions are posted, applicants apply and provide supporting documentation, GSB faculty assess",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,Salesforce,Salesforce,SE,Application Services,Ursula,Ursula,Sandeep,Sandeep,"Bala, Chenji, Lakshmi, Ramaseshu, Sandeep, Bineet, Kalaivani",GSB,,,,,,X,X,,,,,,Faculty; Prospective Faculty,Administrative; Career,Human Resources; Submit Application,Hiring; - ,Parthi,RK,UK,Sandeep Kadoor,Academic Administration,Claudia Morgan,Staff|Academic Administration
Feedback,Survey tool for structured 360-degree feedback; highly customized for leadership squads at the GSB. Also used generally in some of the MBA Classes to do 360 feedback on class participation.,,,DS,,,Survey,Linux,Java,Ciber,Digital Learning Solutions,Ranga,Joy,,Joy,"Rekha, Ranjith, Vyshali",GSB,,,,,X,X,,,,,Academic,6,Student,Academic,Coursework,Learn (Take Courses),John,RJ,JY,Joy Hsu,TRG?,Sue Barnestable?,Staff|Faculty Support Team?
Fellowships (Academic Works),"Records fellowship opportunites, allows students to apply for those fellowships, and connects them together.",,To Be Retired,Financial Aid,Academic Works; product owner,,"Application/ 
Review",SaaS,Product,Vendor (Academic Works) David Welch,Application Services,Ursula,Ursula,Jack Edwards,N/A,,GSB,Replaces Fellowships / Fellowship Matching,https://StanfordGSB.academicworks.com,,,x,,x,,,,Admin,3,Student,Administrative,Financial Aid,Fellowships,n/a,n/a,n/a,Ursula Kaiser,Financial Aid,Jack Edwards, 
Fusion (Crestron),AV monitoring software,,,DS,,,Utility,Windows,Product,,,Tim,Tim,,,,GSB,,,,,,,,,X,,Admin,,System,Infrastructure,Monitoring & Alerting,,Dave Love,TH,TC,Tim Colvin,n/a,,
GER,Global Experience Requirement preference gathering form and Allocation algorithm ,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Preferencing,Salesforce,Salesforce,SE,Application Services,Rachel,Julia,KC,KC,"Rekha, Raji, Manju",GSB,,,GER,,X,,X,,,,Admin,8,Student,Academic,Global Experience Requirement,Participant,Parthi,RK,UK,KC Kwong,MBA Program,Katherine Robinson,Staff|Student Programs|Global Program
Global Innovation Program,"GIP Applications: GIP has several pplications for their Ignite Programs as well as SIGM, EPNL, EPSE and Endeavor in Salesforce. There is also a third party app on SF for their Ignite Directory called Soapbox.",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Application / Review,Salesforce,Salesforce,GSB,Application Services,Colleen,Marlen,,,"Chenji, Saheen, Ranjith, Bala, Vyshali",SaaS,,,GIP,,,,X,,,X,Admin,4,Public,Staff,GIP,Participant,Parthi,RK,UK,Marlen Wells,GIP,Christina Harvey,Public/GIP
GMIX,"Collection of GMIX applications (agreement, GMIX application, funding application, sponsor form, stipend agreement)",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Form,Salesforce,Salesforce,SE,Application Services,Rachel,Julia,KC,KC,"Rekha, Raji, Manju",GSB,,,GMIX,,X,,X,,,,,6,Student,Academic,Global Experience Requirement,Participant,Parthi,RK,UK,KC Kwong,MBA Program,Ashlee Yang,Staff|Student Programs|Global Program
Google Analytics/Tag Manager,"Analytics for web sites and applications, tag management system",,,DS/Marketing,,,,SaaS,Google Analytics,,Web Services,,Judy,,,,,,,,,,,X,,,,,,,,,,,MS,NK,Judy Heng,,,
Google Calendar,Calendaring application for GSB community,,,DS,,,Calendar,SaaS,Product,DevOps,Application Services,Raj,Elisha,David LeVine,,,SaaS,,,,,X,,,,X,,,,Student,Administrative,Common Processes,Calendaring,Parthi,RK,UK,Elisha Sullivan,n/a,n/a,n/a
Google Calendar Academic Calendar,"Calendar integration process to reflect Academic Calendar items (term start dates, significant events, etc.) on students' calendars",,,DS,,,Calendar,,SaaS,Ciber,Application Services,Rachel,Misha,Elisha,TBD,"Gurmeet, Kiran, Jayaram, Nirmala, Manju",GSB,,,,,X,,,,X,,,,Student,Administrative,Common Processes,Calendaring,Parthi,RK,UK,Misha Verhovski,MBA Program,Lily Kimbel,Staff|Student Programs
Google Calendar Student Courses,Calendar integration process for students' academic schedules to be placed on their calendars,,,DS,,,Calendar,,SaaS,Ciber,Application Services,Rachel,Misha,Elisha,TBD,"Gurmeet, Kiran, Jayaram, Nirmala, Manju",GSB,,,,,X,,,,X,,,,Student,Academic,Coursework,Learn (Take Courses),Parthi,RK,UK,Juan Garzon,MBA Program,Ashlee Yang,Staff|Student Programs
Google Calendar Student Events,Calendar integration process for Comm Center events to be available for students to add to their calendars,,,DS,,,Calendar,,SaaS,Ciber,Application Services,Rachel,Misha,Elisha,TBD,"Gurmeet, Kiran, Jayaram, Nirmala, Manju",GSB,,,,,X,,,,X,,,,Student,Social,Networking,Calendaring,Parthi,RK,UK,Juan Garzon,MBA Program,Ashlee Yang,Staff|Student Programs
Google Mail,Email application for GSB community,,,UIT,,,Mail,,SaaS,DevOps,Operations Services,Raj,Elisha,David LeVine,,,SaaS,,,,,X,,,,X,,,,Student,Administrative,Common Processes,Email,Dave Love,TH,DL,Elisha Sullivan,n/a,n/a,n/a
Google Search Appliance,"search.gsb.stanford.edu, used for searching external-facing and some internal content",,,DS,,,Search,Appliance,Product,SE,Web Services,Raj,Judy,Naveen,,,GSB,,via web,,,,,,,X,X,Web,1,System,,,,Adam,MS,NK,Judy Heng,,,
GSB CRM,"Seed for GSB-wide CRM (across all centers, alumni base)",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,Salesforce,Salesforce,GSB,Application Services,"Rachel, Lisa",Marlen,Katya,KC,"Saheen, Ranjith, Chenji, Bala",SaaS,,,,,,,X,,,,Admin,4,?,?,?,?,Parthi,RK,UK,Marlen Wells,GSB-wide,various department staff,Staff
GSB Leads (LeadLabs),Leadership Labs tool,,,DS,,,Website,,,CRC; Duotone,Digital Learning Solutions,Ranga,Chris,,,,GSB,,,,,X,X,X,,,,Academic,5,?,?,?,?,John,RJ,JY,Chris Sadlak,?,?,?
GSB Monitoring App,Utility to validate server availability on Apache servers,,,DS,,,Utility,,Java,SE,Operations Services,Dave,,,,,GSB,,,,,,,,,X,,Utility,10,System,Infrastructure,Monitoring & Alerting,,Dave Love,TH,DL,Misha Verhovski,n/a,n/a,n/a
GSB Web Services (Calendar Integ.),Utility to put calendar items directly into calendars (Exchange or gmail),,,DS,,,Datasync,,.NET,SE,Application Services,Raj,,,,"Mahesh, Roopesh, Manju",Datasync,,,,,,,,,X,,Utility,10,System,Data Services,Datasync,,Parthi,RK,DL,Misha Verhovski,n/a,n/a,n/a
gsbrecruiting,"WebAuth passthrough for MBAfocus ""Career Dashboard"" (restricted access)",,,DS,,,AuthN Integration,,Perl,SE,Application Services,Dave,,,,,GSB,,,,,X,X,X,,,,Admin,9,Student,Career,Multiple,,Parthi,TH,DL,Vivek Sinha,CMC,?,Staff|Career Management Center
GSBReg Algorithm,Behind-the-scenes algorithm for allocating students to courses in GSBReg,,To be retired,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Utility,,Salesforce,Ciber,Application Services,Rachel,KC,Asha,KC,"Gurmeet, Kini, Vyshali, Kalaivani",GSB,,,,,,,X,,,,Admin,7,System,,,,Parthi,RK,UK,KC Kwong,Academic Operations,Lily Kimbel,Staff|Student Programs|Academic Operations
GSBReg Reportmart1 (Hyperion) Reports,"Customized reports for GSBReg application, written in Hyperion and hosted by the University's reporting solution",,To be retired,UIT,,,Reporting,,Hyperion,SE,Application Services,Rachel,Asha,Katya,,Aravind,University,,,,,,,X,,,,Reporting,5,System,Data Services,Reporting,,Vivek,RK,VS,Asha Wahi,Academic Operations,Lily Kimbel,Staff|Student Programs|Academic Operations
GSBRegistration,Registration system for GSB courses for GSB students (only).,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Preferencing,Salesforce,Salesforce,Ciber,Application Services,Rachel,KC,Parthipan,KC,"Kini, Ranjith, Vyhsali, Manju, Gurmeet, Sandeep, Kalaivani",GSB,,https://gsbapps.stanford.edu/gsbreg/,"GSBReg, Reg",,X,,X,,,,Admin,1,Student,Academic,Coursework,Enroll in Courses,Parthi,RK,UK,KC Kwong,Academic Operations,Lily Kimbel,Staff|Student Programs|Academic Operations
GSBUI,Common UI elements for Java applications,,,DS,,,Website,,HTML,Ciber,Application Services,Dave,,,,,GSB,,,,,,,,,X,,Utility,10,System,Infrastructure,Application Module,,Parthi,RK,UK,KC Kwong,n/a,n/a,n/a
iDecision Games,Negotiation facilitation software,,,?,,,Learning application,SaaS,Forio,,,Ranga,,,,,SaaS,,,,,,,,,,,,,,,,,John,RJ,JY,Cindy,,,LEAD
Impact Labs (iLabs),"Collection of forms for students and host organizations for Impact Labs programs (CSI), allocation algorithm",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Form,Salesforce,Salesforce,SE,Application Services,Jing,Julia,KC,,"Rekha, Raji, Manju, Chenji",GSB,,,ILabs,,X,,,,,X,,6,Students,Non Profit Orgs in Bay Area,Intership/Volunteering for students through the year,Get students as a voluteer to have the work done,Parthi,RK,UK,Julia Zivkovic,CSI,Loretta Gallegos,"Circle (CSI), MBA, MSx"
Inkling,,,NEW,,,,,SaaS,SaaS,,,Ranga,Lisa,,,,SaaS,,,,,X,X,X,,,X,,,Admin/ Case Writing,Faculty,Case creation,Case distribution,Lisa,RK,RK,Lisa,,,
Ithenticate,Plagiarism Checker for Admissions,,,DS/DES,,,,,Product,SE,Application Services,Julia,KC,,,"Lakshmi, Nirmala",,,,,X,X,X,X,,X,,,,,,,,Parthi,RK,UK,Julia Zivkovic,Case Writing,Margot?,Case Writing
Jira,Internal IT defect tracking tool,,,DS,,,Utility,SaaS,Product,SE,,Dave,Phong,Ben,,,GSB,,,,,,,X,,X,,Admin,10,,,,,Parthi,TH,DL,Misha Verhovski,,,
Kaltura,"video streaming service, links with mygsb and canvas.",,NEW,DS,,,,SaaS,Product,,,Kim,Kim,,,,SaaS,https://sites.google.com/a/stanford.edu/kaltura/,https://gsbmedia.stanford.edu,Kaltura,,x,x,x,,x,,,5,,,,,Raj,RN,RN,Alpana,,,
